Имя,Ссылка,Изображение,Дата публикации,Время публикации,Описание
В Санкт-Петербурге открыт офис «МВК-Сервис» с целью улучшения качества обслуживания туроператоров,https://visit-russia.ru/ru/novosti/1438-.html,https://visit-russia.ru/images/arc_35/v_sankt-peterburge_otkrit_ofis_mvk-servis_s_celyu_uluchsheniya_kachestva_obsluzhivaniya_turoperatorov.jpg,17.06.2016,10:00,"Уважаемые коллеги!
С радостью сообщаем, что участник туристической ассоциации «Мир без границ» ООО «МВК сервис», 15 июня 2016 года открыл офис в Санкт-Петербурге. Компания уже несколько лет успешно  ведет деятельность на направлении безвизового группового туристического обмена между Россией и Китаем,  организует встречи и проводы туристов в пограничных пунктах пропуска, оказывает содейс......"
В Сеуле представили турпотенциал России на KOTFA-2016,https://visit-russia.ru/ru/novosti/1442-kotfa-2016.html,https://visit-russia.ru/images/arc_35/v_seule_predstavili_turpotencial_rossii_na_kotfa-2016.jpg,16.06.2016,10:00,"С 9 по 12 июня 2016 года в Сеуле (Республика Корея) состоялась выставка Korea World Travel Fair  (KOTFA 2016). В выставке KOTFA, проходящей уже более 30 лет, Россия в 9 раз приняла участие  единым национальным стендом при информационной поддержке Федерального агентства по туризму. Возглавила российскую делегацию на KOTFA-2016 начальник отдела туристских событий и маркетинговых технологий Ростур......"
В Гуанчжоу узнают о турпотенциале регионов России,https://visit-russia.ru/ru/novosti/1439-.html,https://visit-russia.ru/images/arc_35/v_guanchzhou_uznayut_o_turpotenciale_regionov_rossii.jpg,14.06.2016,10:00,"Россия примет участие в Международной туристической выставке CITIE (China (Guangdong) International Tourism Industry Expo), которая пройдет с 9 по 11 сентября 2016 года в Гуанчжоу (провинция Гуандун, Китай). Стенд России традиционно организуется при информационной поддержке Туристической ассоциации «Мир без границ».
CITIE-2016 проводится под патронажем......"
В Москве состоялась встреча руководителя ГУТ КНР и представителей ассоциации «Мир без границ»,https://visit-russia.ru/ru/novosti/1441-.html,https://visit-russia.ru/images/arc_35/v_moskve_sostoyalas_vstrecha_rukovoditelya_gut_knr_i_predstavitelej_associacii_mir_bez_granic.jpg,14.06.2016,10:00,"В Москве с официальным визитом  с 8 по 9 июня 2016 года находился руководитель Государственного управления по делам туризма КНР г-н Ли Цзиньцзао. В рамках программы пребывания в нашей столице он посетил состоявшееся в Госдуме заседание Экспертного совета по внутреннему и  въездному туризму в Российской Федерации, посвященное развитию турпотоков между Россией и Китаем. Участие в заседании принял......"
Аэропорт Гонконга вводит специальный комиссионный сбор для вылетающих пассажиров,https://visit-russia.ru/ru/novosti/1448-.html,https://visit-russia.ru/images/arc_36/aeroport_gonkonga_vvodit_specialnij_komissionnij_sbor_dlya_viletayushih_passazhirov.jpg,09.06.2016,10:00,"Администрация международного аэропорта Гонконга сообщила о введении дополнительного сбора, который будет добавляться к стоимости билета, начиная с 1 августа 2016 года.
Данная мера коснется всех вылетающих из данного аэропорта пассажиров (вне зависимости от авиакомпании-перевозчика), в том числе и так называемых транзитных путешественников. Однако на стоимость билетов, выписанных до 1 ав......"
Сочи стал площадкой проведения Российско-Китайского делового форума малого и среднего бизнеса,https://visit-russia.ru/ru/novosti/1449-.html,https://visit-russia.ru/images/arc_36/sochi_stal_ploshadkoj_provedeniya_rossijsko-kitajskogo_delovogo_foruma_malogo_i_srednego_biznesa.jpg,08.06.2016,10:00,"В Главном медиацентре г. Сочи 30-31 мая 2016 года состоялся II Российско-Китайский деловой форум малого и среднего бизнеса — 2016, в рамках которого Туристическая ассоциация «Мир без границ» провела секцию «Сотрудничество России и Китая в сфере туризма».
Организаторами форума выступили Российско-Китайский комитет дружбы, мира и развития, Российско-Китайский деловой совет, Союз инновац......"
В Санкт-Петербурге обсудили актуальные вопросы китайского въездного туризма,https://visit-russia.ru/ru/novosti/1444-.html,https://visit-russia.ru/images/arc_36/v_sankt-peterburge_obsudili_aktualnie_voprosi_kitajskogo_vezdnogo_turizma.jpg,07.06.2016,10:00,"Расширенное совещание по актуальным вопросам и проблемам китайского въездного туризма в связи с началом высокого туристического сезона состоялось 6 июня 2016 года в Санкт-Петербурге.
В мероприятии приняли участие представители Федерального агентства по туризму, Комитета по развитию туризма Санкт-Петербурга, Генерального консульства КНР в Санкт-Петер......"
Новые правила получения электронных виз позволят привлечь китайских туристов в Россию,https://visit-russia.ru/ru/novosti/1447-.html,https://visit-russia.ru/images/arc_36/novie_pravila_polucheniya_elektronnih_viz_pozvolyat_privlech_kitajskih_turistov_v_rossiyu.jpg,07.06.2016,10:00,"Упрощённый визовый режим для въезда в Россию вступит в силу 1 июля в Приморском крае. Представители российских государственных органов в сфере туризма предполагают, что введение новых правил получения электронной въездной визы станет мощным стимулом к развитию туризма, в особенности в отношении гостей из Китая.
Туристы смогут получить бесплатную электронную визу на пребывание в России н......"
"30,2 миллиона китайских туристов выехали за рубеж в I квартале 2016 года",https://visit-russia.ru/ru/novosti/1445-30-2-i-2016.html,https://visit-russia.ru/images/arc_36/30-2_milliona_kitajskih_turistov_viehali_za_rubezh_v_i_kvartale_2016_goda.jpg,03.06.2016,10:00,"По данным COTRI (China Outbound Tourism Research Institute), за первые три месяца 2016 года китайцами было совершено 30,2 миллиона поездок за рубеж. При этом темп прироста турпотока составил лишь 2,4% (по сравнению с 29,5 миллионами выехавшими за аналогичный период 2015 года), что является самым низким показателем прироста, начиная с 1997 года, являющимся годом фактического нач......"
Российские компании приняли участие в выставке BITE-2016: подводим итоги,https://visit-russia.ru/ru/novosti/1381-bite-2016.html,https://visit-russia.ru/images/arc_36/rossijskie_kompanii_prinyali_uchastie_v_vistavke_bite-2016_podvodim_itogi.jpg,02.06.2016,10:00,"20-22 мая 2016 года в Пекине прошла одна из крупнейших в Китае международных туристических выставок Beijing International Tourism Expo (BITE), которая собрала под своей крышей более 1 000 экспонентов из 80 стран мира. BITE проводится под патронажем администрации г. Пекина и Государственного управления по делам туризма КНР и привлекает свыше 120 000 посетителей...."
